Question_no,Ans,Correct_Marks,Wrong_Marks,Subject
1,D,5,-5,statistics
2,D,5,-5,statistics
3,D,5,-5,statistics
4,C,5,-5,statistics
5,A,5,-5,statistics
6,D,5,-5,statistics
7,C,5,-5,statistics
8,A,5,-5,statistics
9,B,5,-5,statistics
10,A,5,-5,statistics
11,C,5,-5,statistics
12,C,5,-5,statistics
13,D,5,-5,statistics
14,C,5,-5,statistics
15,B,5,-5,statistics
16,A,5,-5,statistics
17,B,5,-5,statistics
18,C,5,-5,statistics
19,B,5,-5,statistics
20,A,5,-5,statistics
21,D,5,-5,statistics
22,B,5,-5,statistics
23,D,5,-5,statistics
24,A,5,-5,statistics
25,D,5,-5,statistics
26,A,5,-5,statistics
27,B,5,-5,statistics
28,C,5,-5,statistics
29,D,5,-5,statistics
30,D,5,-5,statistics
31,C,5,-5,statistics
32,A,5,-5,statistics
33,B,5,-5,statistics
34,B,5,-5,statistics
35,B,5,-5,statistics
36,B,5,-5,statistics
37,D,5,-5,statistics
38,A,5,-5,statistics
39,B,5,-5,statistics
40,A,5,-5,statistics
41,A,5,-5,statistics
42,A,5,-5,statistics
43,D,5,-5,statistics
44,A,5,-5,statistics
45,C,5,-5,statistics
46,A,5,-5,statistics
47,A,5,-5,statistics
48,C,5,-5,statistics
49,D,5,-5,statistics
50,A,5,-5,statistics
51,B,5,-5,statistics
52,A,5,-5,statistics
53,A,5,-5,statistics
54,B,5,-5,statistics
55,D,5,-5,statistics
56,B,5,-5,statistics
57,D,5,-5,statistics
58,C,5,-5,statistics
59,A,5,-5,statistics
60,C,5,-5,statistics
61,C,5,-5,statistics
62,A,5,-5,statistics
63,A,5,-5,statistics
64,C,5,-5,statistics
65,A,5,-5,statistics
66,C,5,-5,statistics
67,D,5,-5,statistics
68,B,5,-5,statistics
69,C,5,-5,statistics
70,D,5,-5,statistics
71,C,5,-5,statistics
72,C,5,-5,statistics
73,B,5,-5,statistics
74,D,5,-5,statistics
75,A,5,-5,statistics
76,D,5,-5,statistics
77,C,5,-5,statistics
78,B,5,-5,statistics
79,A,5,-5,statistics
80,A,5,-5,statistics
81,B,5,-5,statistics
82,B,5,-5,statistics
83,B,5,-5,statistics
84,A,5,-5,statistics
85,C,5,-5,statistics
86,A,5,-5,statistics
87,C,5,-5,statistics
88,A,5,-5,statistics
89,D,5,-5,statistics
90,C,5,-5,statistics
91,B,5,-5,statistics
92,B,5,-5,statistics
93,B,5,-5,statistics
94,C,5,-5,statistics
95,B,5,-5,statistics
96,D,5,-5,statistics
97,B,5,-5,statistics
98,D,5,-5,statistics
99,A,5,-5,statistics
100,C,5,-5,statistics
