Question_no,Ans,Correct_Marks,Wrong_Marks,Subject
1,A,1,2,Chemistry
2,A,1,2,Chemistry
3,A,1,2,Chemistry
4,A,1,2,Chemistry
5,A,1,2,Chemistry
6,A,1,2,Chemistry
7,A,1,2,Chemistry
8,A,1,2,Chemistry
9,A,1,2,Chemistry
10,A,1,2,Chemistry
11,A,1,2,Chemistry
12,A,1,2,Chemistry
13,A,1,2,Chemistry
14,A,1,2,Chemistry
15,A,1,2,Chemistry
16,A,1,2,Chemistry
17,A,1,2,Chemistry
18,A,1,2,Chemistry
19,A,1,2,Chemistry
20,A,1,2,Chemistry
21,A,1,2,Chemistry
22,A,1,2,Chemistry
23,A,1,2,Chemistry
24,A,1,2,Chemistry
25,A,1,2,Chemistry
26,A,1,2,Chemistry
27,A,1,2,Chemistry
28,A,1,2,Chemistry
29,A,1,2,Chemistry
30,A,1,2,Chemistry
31,A,1,2,Chemistry
32,A,1,2,Chemistry
33,A,1,2,Chemistry
34,A,1,2,Chemistry
35,A,1,2,Chemistry
36,A,1,2,Chemistry
37,A,1,2,Chemistry
38,A,1,2,Chemistry
39,A,1,2,Chemistry
40,A,1,2,Chemistry
41,A,1,2,Chemistry
42,A,1,2,Chemistry
43,A,1,2,Chemistry
44,A,1,2,Chemistry
45,A,1,2,Chemistry
46,A,1,2,Chemistry
47,A,1,2,Chemistry
48,A,1,2,Chemistry
49,A,1,2,Chemistry
50,A,1,2,Chemistry
51,A,1,2,Chemistry
52,A,1,2,Chemistry
53,A,1,2,Chemistry
54,A,1,2,Chemistry
55,A,1,2,Chemistry
56,A,1,2,Chemistry
57,A,1,2,Chemistry
58,A,1,2,Chemistry
59,A,1,2,Chemistry
60,A,1,2,Chemistry
61,A,1,2,Chemistry
62,A,1,2,Chemistry
63,A,1,2,Chemistry
64,A,1,2,Chemistry
65,A,1,2,Chemistry
66,A,1,2,Chemistry
67,A,1,2,Chemistry
68,A,1,2,Chemistry
69,A,1,2,Chemistry
70,A,1,2,Chemistry
71,A,1,2,Chemistry
72,A,1,2,Chemistry
73,A,1,2,Chemistry
74,A,1,2,Chemistry
75,A,1,2,Chemistry
76,A,1,2,Chemistry
77,A,1,2,Chemistry
78,A,1,2,Chemistry
79,A,1,2,Chemistry
80,A,1,2,Chemistry
81,A,1,2,Chemistry
82,A,1,2,Chemistry
83,A,1,2,Chemistry
84,A,1,2,Chemistry
85,A,1,2,Chemistry
86,A,1,2,Chemistry
87,A,1,2,Chemistry
88,A,1,2,Chemistry
89,A,1,2,Chemistry
90,A,1,2,Chemistry
91,A,1,2,Chemistry
92,A,1,2,Chemistry
93,A,1,2,Chemistry
94,A,1,2,Chemistry
95,A,1,2,Chemistry
96,A,1,2,Chemistry
97,A,1,2,Chemistry
98,A,1,2,Chemistry
99,A,1,2,Chemistry
100,A,1,2,Chemistry
