Question_no,Ans,Correct_Marks,Wrong_Marks,Subject
1,D,1,0,oo
2,D,1,0,oo
3,D,1,0,oo
4,C,1,0,oo
5,A,1,0,oo
6,D,1,0,oo
7,C,1,0,oo
8,A,1,0,oo
9,B,1,0,oo
10,A,1,0,oo
11,C,1,0,oo
12,C,1,0,oo
13,D,1,0,oo
14,C,1,0,oo
15,B,1,0,oo
16,A,1,0,oo
17,B,1,0,oo
18,C,1,0,oo
19,B,1,0,oo
20,A,1,0,oo
21,D,1,0,oo
22,B,1,0,oo
23,D,1,0,oo
24,A,1,0,oo
25,D,1,0,oo
26,A,1,0,oo
27,B,1,0,oo
28,C,1,0,oo
29,D,1,0,oo
30,D,1,0,oo
31,C,1,0,oo
32,A,1,0,oo
33,B,1,0,oo
34,B,1,0,oo
35,B,1,0,oo
36,B,1,0,oo
37,D,1,0,oo
38,A,1,0,oo
39,B,1,0,oo
40,A,1,0,oo
41,A,1,0,oo
42,A,1,0,oo
43,D,1,0,oo
44,A,1,0,oo
45,C,1,0,oo
46,A,1,0,oo
47,A,1,0,oo
48,C,1,0,oo
49,D,1,0,oo
50,A,1,0,oo
51,B,1,0,oo
52,A,1,0,oo
53,A,1,0,oo
54,B,1,0,oo
55,D,1,0,oo
56,B,1,0,oo
57,D,1,0,oo
58,C,1,0,oo
59,A,1,0,oo
60,C,1,0,oo
61,C,1,0,oo
62,A,1,0,oo
63,A,1,0,oo
64,C,1,0,oo
65,A,1,0,oo
66,C,1,0,oo
67,D,1,0,oo
68,B,1,0,oo
69,C,1,0,oo
70,D,1,0,oo
71,C,1,0,oo
72,C,1,0,oo
73,B,1,0,oo
74,D,1,0,oo
75,A,1,0,oo
76,D,1,0,oo
77,C,1,0,oo
78,B,1,0,oo
79,A,1,0,oo
80,A,1,0,oo
81,B,1,0,oo
82,B,1,0,oo
83,B,1,0,oo
84,A,1,0,oo
85,C,1,0,oo
86,A,1,0,oo
87,C,1,0,oo
88,A,1,0,oo
89,D,1,0,oo
90,C,1,0,oo
91,B,1,0,oo
92,B,1,0,oo
93,B,1,0,oo
94,C,1,0,oo
95,B,1,0,oo
96,D,1,0,oo
97,B,1,0,oo
98,D,1,0,oo
99,A,1,0,oo
100,C,1,0,oo
