"Question_no","Ans","Correct_Marks","Wrong_Marks","Subject"
"","B","1","0","maths"
"","A","1","0","maths"
"","E","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","2","0","chemistry"
"","A","1","0","maths"
"","C","1","0","maths"
"","A","4","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
"","A","1","0","maths"
